x:-4.441853 y:4.466288 z:7.766737
x:-4.374190 y:4.482521 z:7.795734
x:-4.306401 y:4.498467 z:7.824238
x:-4.238491 y:4.514128 z:7.852251
x:-4.170462 y:4.529504 z:7.879774
x:-4.102319 y:4.544596 z:7.906809
x:-4.034063 y:4.559405 z:7.933357
x:-3.965699 y:4.573933 z:7.959420
x:-3.897229 y:4.588179 z:7.984999
x:-3.828656 y:4.602146 z:8.010096
x:-3.759983 y:4.615834 z:8.034712
x:-3.691214 y:4.629243 z:8.058849
x:-3.622350 y:4.642375 z:8.082508
x:-3.553394 y:4.655231 z:8.105690
x:-3.484350 y:4.667812 z:8.128397
x:-3.415220 y:4.680118 z:8.150630
x:-3.346006 y:4.692150 z:8.172391
x:-3.276711 y:4.703909 z:8.193681
x:-3.207337 y:4.715396 z:8.214501
x:-3.137887 y:4.726612 z:8.234853
x:-3.068363 y:4.737558 z:8.254737
x:-2.998768 y:4.748234 z:8.274156
x:-2.929103 y:4.758642 z:8.293111
x:-2.859371 y:4.768781 z:8.311602
x:-2.789574 y:4.778654 z:8.329631
x:-2.719714 y:4.788260 z:8.347199
x:-2.649793 y:4.797600 z:8.364307
x:-2.579813 y:4.806675 z:8.380957
x:-2.509777 y:4.815486 z:8.397149
x:-2.439685 y:4.824034 z:8.412885
x:-2.369540 y:4.832319 z:8.428166
x:-2.299344 y:4.840342 z:8.442992
x:-2.229099 y:4.848103 z:8.457365
x:-2.158806 y:4.855603 z:8.471285
x:-2.088467 y:4.862843 z:8.484755
x:-2.018084 y:4.869824 z:8.497774
x:-1.947658 y:4.876545 z:8.510343
x:-1.877192 y:4.883008 z:8.522464
x:-1.806686 y:4.889213 z:8.534136
x:-1.736142 y:4.895160 z:8.545362
x:-1.665563 y:4.900851 z:8.556142
x:-1.594948 y:4.906286 z:8.566475
x:-1.524301 y:4.911464 z:8.576364
x:-1.453622 y:4.916387 z:8.585809
x:-1.382913 y:4.921055 z:8.594811
x:-1.312175 y:4.925468 z:8.603369
x:-1.241410 y:4.929628 z:8.611485
x:-1.170619 y:4.933533 z:8.619159
x:-1.099803 y:4.937185 z:8.626392
x:-1.028965 y:4.940584 z:8.633184
x:-0.958104 y:4.943730 z:8.639535
x:-0.887223 y:4.946624 z:8.645447
x:-0.816322 y:4.949265 z:8.650918
x:-0.745404 y:4.951655 z:8.655951
x:-0.674469 y:4.953793 z:8.660544
x:-0.603519 y:4.955679 z:8.664699
x:-0.532554 y:4.957314 z:8.668415
x:-0.461577 y:4.958699 z:8.671693
x:-0.390589 y:4.959832 z:8.674532
x:-0.319590 y:4.960714 z:8.676934
x:-0.248582 y:4.961346 z:8.678897
x:-0.177566 y:4.961727 z:8.680422
x:-0.106543 y:4.961858 z:8.681510
x:-0.035515 y:4.961738 z:8.682159
x:0.035516 y:4.961368 z:8.682371
x:0.106551 y:4.960748 z:8.682144
x:0.177587 y:4.959878 z:8.681479
x:0.248624 y:4.958757 z:8.680376
x:0.319660 y:4.957385 z:8.678833
x:0.390693 y:4.955763 z:8.676853
x:0.461723 y:4.953891 z:8.674432
x:0.532748 y:4.951768 z:8.671573
x:0.603768 y:4.949394 z:8.668273
x:0.674780 y:4.946769 z:8.664534
x:0.745783 y:4.943893 z:8.660354
x:0.816777 y:4.940766 z:8.655733
x:0.887759 y:4.937388 z:8.650670
x:0.958728 y:4.933757 z:8.645165
x:1.029684 y:4.929875 z:8.639218
x:1.100624 y:4.925741 z:8.632827
x:1.171547 y:4.921354 z:8.625993
x:1.242452 y:4.916715 z:8.618714
x:1.313338 y:4.911822 z:8.610990
x:1.384202 y:4.906676 z:8.602820
x:1.455043 y:4.901276 z:8.594204
x:1.525861 y:4.895623 z:8.585140
x:1.596653 y:4.889714 z:8.575628
x:1.667417 y:4.883551 z:8.565667
x:1.738152 y:4.877132 z:8.555256
x:1.808857 y:4.870458 z:8.544394
x:1.879530 y:4.863527 z:8.533081
x:1.950169 y:4.856340 z:8.521315
x:2.020772 y:4.848895 z:8.509095
x:2.091338 y:4.841193 z:8.496420
x:2.161865 y:4.833233 z:8.483290
x:2.232351 y:4.825013 z:8.469702
x:2.302793 y:4.816535 z:8.455657
x:2.373191 y:4.807796 z:8.441152
x:2.443543 y:4.798798 z:8.426188
x:2.513845 y:4.789538 z:8.410762
x:2.584097 y:4.780016 z:8.394873
x:2.654296 y:4.770232 z:8.378520
x:2.724439 y:4.760185 z:8.361702
x:2.794526 y:4.749875 z:8.344418
x:2.864553 y:4.739300 z:8.326666
x:2.934519 y:4.728461 z:8.308445
x:3.004421 y:4.717355 z:8.289754
x:3.074256 y:4.705984 z:8.270590
x:3.144023 y:4.694345 z:8.250954
x:3.213718 y:4.682439 z:8.230843
x:3.283340 y:4.670264 z:8.210256
x:3.352885 y:4.657821 z:8.189192
x:3.422351 y:4.645107 z:8.167649
x:3.491736 y:4.632122 z:8.145626
x:3.561036 y:4.618867 z:8.123121
x:3.630249 y:4.605339 z:8.100133
x:3.699372 y:4.591538 z:8.076660
x:3.768401 y:4.577463 z:8.052701
x:3.837335 y:4.563114 z:8.028254
x:3.906169 y:4.548489 z:8.003317
x:3.974902 y:4.533589 z:7.977890
x:4.043528 y:4.518411 z:7.951971
x:4.112046 y:4.502956 z:7.925558
x:4.180452 y:4.487223 z:7.898649
x:4.248743 y:4.471210 z:7.871243
x:4.316914 y:4.454917 z:7.843339
x:4.384963 y:4.438343 z:7.814935
x:4.452886 y:4.421488 z:7.786029
x:-4.458474 y:4.398581 z:7.795800
x:-4.390678 y:4.414685 z:7.825120
x:-4.322751 y:4.430505 z:7.853944
x:-4.254697 y:4.446044 z:7.882274
x:-4.186519 y:4.461301 z:7.910111
x:-4.118219 y:4.476278 z:7.937456
x:-4.049803 y:4.490975 z:7.964310
x:-3.981272 y:4.505394 z:7.990676
x:-3.912630 y:4.519534 z:8.016554
x:-3.843879 y:4.533398 z:8.041946
x:-3.775024 y:4.546986 z:8.066853
x:-3.706066 y:4.560298 z:8.091276
x:-3.637010 y:4.573336 z:8.115218
x:-3.567856 y:4.586100 z:8.138679
x:-3.498609 y:4.598592 z:8.161660
x:-3.429271 y:4.610811 z:8.184163
x:-3.359844 y:4.622760 z:8.206189
x:-3.290331 y:4.634438 z:8.227740
x:-3.220736 y:4.645847 z:8.248816
x:-3.151059 y:4.656987 z:8.269420
x:-3.081304 y:4.667859 z:8.289551
x:-3.011473 y:4.678464 z:8.309212
x:-2.941568 y:4.688802 z:8.328404
x:-2.871593 y:4.698875 z:8.347127
x:-2.801547 y:4.708682 z:8.365384
x:-2.731435 y:4.718226 z:8.383174
x:-2.661259 y:4.727506 z:8.400499
x:-2.591019 y:4.736523 z:8.417361
x:-2.520719 y:4.745278 z:8.433760
x:-2.450360 y:4.753771 z:8.449698
x:-2.379945 y:4.762003 z:8.465175
x:-2.309475 y:4.769975 z:8.480192
x:-2.238953 y:4.777688 z:8.494751
x:-2.168379 y:4.785141 z:8.508852
x:-2.097757 y:4.792336 z:8.522496
x:-2.027087 y:4.799273 z:8.535684
x:-1.956372 y:4.805953 z:8.548416
x:-1.885613 y:4.812376 z:8.560695
x:-1.814812 y:4.818543 z:8.572520
x:-1.743970 y:4.824454 z:8.583892
x:-1.673091 y:4.830110 z:8.594813
x:-1.602174 y:4.835511 z:8.605282
x:-1.531221 y:4.840657 z:8.615300
x:-1.460235 y:4.845550 z:8.624869
x:-1.389217 y:4.850189 z:8.633988
x:-1.318168 y:4.854575 z:8.642658
x:-1.247089 y:4.858708 z:8.650880
x:-1.175983 y:4.862589 z:8.658654
x:-1.104851 y:4.866218 z:8.665981
x:-1.033694 y:4.869596 z:8.672861
x:-0.962513 y:4.872722 z:8.679294
x:-0.891311 y:4.875596 z:8.685282
x:-0.820088 y:4.878220 z:8.690824
x:-0.748846 y:4.880594 z:8.695920
x:-0.677586 y:4.882717 z:8.700572
x:-0.606310 y:4.884590 z:8.704778
x:-0.535020 y:4.886213 z:8.708540
x:-0.463715 y:4.887586 z:8.711858
x:-0.392399 y:4.888710 z:8.714731
x:-0.321071 y:4.889584 z:8.717160
x:-0.249734 y:4.890209 z:8.719145
x:-0.178389 y:4.890585 z:8.720686
x:-0.107037 y:4.890711 z:8.721782
x:-0.035680 y:4.890589 z:8.722435
x:0.035681 y:4.890217 z:8.722643
x:0.107045 y:4.889596 z:8.722407
x:0.178411 y:4.888727 z:8.721727
x:0.249776 y:4.887608 z:8.720602
x:0.321140 y:4.886240 z:8.719033
x:0.392502 y:4.884623 z:8.717018
x:0.463859 y:4.882757 z:8.714558
x:0.535211 y:4.880641 z:8.711653
x:0.606556 y:4.878276 z:8.708301
x:0.677893 y:4.875661 z:8.704504
x:0.749220 y:4.872797 z:8.700260
x:0.820536 y:4.869683 z:8.695568
x:0.891839 y:4.866318 z:8.690430
x:0.963128 y:4.862704 z:8.684843
x:1.034402 y:4.858839 z:8.678807
x:1.105659 y:4.854723 z:8.672323
x:1.176898 y:4.850356 z:8.665388
x:1.248116 y:4.845738 z:8.658004
x:1.319313 y:4.840869 z:8.650168
x:1.390487 y:4.835747 z:8.641880
x:1.461636 y:4.830374 z:8.633140
x:1.532758 y:4.824747 z:8.623947
x:1.603853 y:4.818868 z:8.614300
x:1.674918 y:4.812736 z:8.604198
x:1.745951 y:4.806350 z:8.593640
x:1.816951 y:4.799710 z:8.582626
x:1.887917 y:4.792815 z:8.571155
x:1.958845 y:4.785665 z:8.559225
x:2.029735 y:4.778260 z:8.546836
x:2.100585 y:4.770599 z:8.533987
x:2.171392 y:4.762682 z:8.520676
x:2.242156 y:4.754508 z:8.506903
x:2.312872 y:4.746076 z:8.492666
x:2.383541 y:4.737386 z:8.477966
x:2.454160 y:4.728438 z:8.462799
x:2.524726 y:4.719231 z:8.447166
x:2.595237 y:4.709765 z:8.431065
x:2.665692 y:4.700038 z:8.414495
x:2.736088 y:4.690051 z:8.397455
x:2.806423 y:4.679802 z:8.379943
x:2.876695 y:4.669291 z:8.361959
x:2.946900 y:4.658517 z:8.343500
x:3.017038 y:4.647481 z:8.324566
x:3.087105 y:4.636180 z:8.305156
x:3.157098 y:4.624615 z:8.285268
x:3.227016 y:4.612784 z:8.264901
x:3.296855 y:4.600688 z:8.244053
x:3.366614 y:4.588326 z:8.222724
x:3.436288 y:4.575696 z:8.200911
x:3.505876 y:4.562798 z:8.178613
x:3.575375 y:4.549631 z:8.155829
x:3.644781 y:4.536195 z:8.132558
x:3.714092 y:4.522489 z:8.108798
x:3.783305 y:4.508513 z:8.084548
x:3.852416 y:4.494265 z:8.059806
x:3.921423 y:4.479744 z:8.034571
x:3.990323 y:4.464951 z:8.008841
x:4.059111 y:4.449884 z:7.982615
x:4.127785 y:4.434543 z:7.955892
x:4.196341 y:4.418927 z:7.928670
x:4.264776 y:4.403035 z:7.900947
x:4.333087 y:4.386866 z:7.872723
x:4.401269 y:4.370421 z:7.843995
x:4.469319 y:4.353697 z:7.814763
x:-4.474811 y:4.330748 z:7.824365
x:-4.406886 y:4.346717 z:7.854006
x:-4.338824 y:4.362406 z:7.883148
x:-4.270630 y:4.377817 z:7.911791
x:-4.202305 y:4.392949 z:7.939939
x:-4.133854 y:4.407805 z:7.967591
x:-4.065281 y:4.422384 z:7.994749
x:-3.996587 y:4.436688 z:8.021414
x:-3.927777 y:4.450718 z:8.047589
x:-3.858853 y:4.464473 z:8.073273
x:-3.789819 y:4.477955 z:8.098468
x:-3.720678 y:4.491165 z:8.123176
x:-3.651432 y:4.504104 z:8.147398
x:-3.582084 y:4.516772 z:8.171135
x:-3.512638 y:4.529170 z:8.194388
x:-3.443096 y:4.541298 z:8.217159
x:-3.373461 y:4.553159 z:8.239448
x:-3.303735 y:4.564751 z:8.261258
x:-3.233922 y:4.576077 z:8.282588
x:-3.164023 y:4.587136 z:8.303442
x:-3.094041 y:4.597930 z:8.323818
x:-3.023979 y:4.608459 z:8.343719
x:-2.953840 y:4.618724 z:8.363147
x:-2.883624 y:4.628726 z:8.382101
x:-2.813336 y:4.638465 z:8.400583
x:-2.742976 y:4.647942 z:8.418594
x:-2.672548 y:4.657157 z:8.436135
x:-2.602053 y:4.666112 z:8.453207
x:-2.531494 y:4.674807 z:8.469812
x:-2.460873 y:4.683242 z:8.485950
x:-2.390192 y:4.691419 z:8.501622
x:-2.319453 y:4.699337 z:8.516829
x:-2.248657 y:4.706997 z:8.531572
x:-2.177808 y:4.714401 z:8.545851
x:-2.106907 y:4.721548 z:8.559669
x:-2.035955 y:4.728438 z:8.573025
x:-1.964955 y:4.735074 z:8.585920
x:-1.893908 y:4.741454 z:8.598356
x:-1.822817 y:4.747580 z:8.610332
x:-1.751682 y:4.753452 z:8.621850
x:-1.680507 y:4.759070 z:8.632911
x:-1.609292 y:4.764435 z:8.643514
x:-1.538039 y:4.769547 z:8.653661
x:-1.466751 y:4.774408 z:8.663352
x:-1.395428 y:4.779016 z:8.672588
x:-1.324072 y:4.783373 z:8.681370
x:-1.252685 y:4.787478 z:8.689697
x:-1.181269 y:4.791333 z:8.697571
x:-1.109824 y:4.794937 z:8.704991
x:-1.038354 y:4.798291 z:8.711959
x:-0.966858 y:4.801395 z:8.718474
x:-0.895339 y:4.804250 z:8.724537
x:-0.823799 y:4.806855 z:8.730149
x:-0.752238 y:4.809212 z:8.735309
x:-0.680658 y:4.811319 z:8.740018
x:-0.609062 y:4.813178 z:8.744276
x:-0.537449 y:4.814788 z:8.748084
x:-0.465822 y:4.816149 z:8.751441
x:-0.394182 y:4.817263 z:8.754347
x:-0.322531 y:4.818129 z:8.756804
x:-0.250870 y:4.818746 z:8.758810
x:-0.179201 y:4.819116 z:8.760366
x:-0.107525 y:4.819238 z:8.761472
x:-0.035843 y:4.819112 z:8.762127
x:0.035843 y:4.818739 z:8.762333
x:0.107532 y:4.818118 z:8.762087
x:0.179222 y:4.817249 z:8.761392
x:0.250912 y:4.816133 z:8.760246
x:0.322599 y:4.814769 z:8.758649
x:0.394284 y:4.813157 z:8.756601
x:0.465964 y:4.811298 z:8.754101
x:0.537637 y:4.809190 z:8.751150
x:0.609303 y:4.806835 z:8.747748
x:0.680960 y:4.804231 z:8.743892
x:0.752606 y:4.801380 z:8.739584
x:0.824240 y:4.798280 z:8.734823
x:0.895860 y:4.794931 z:8.729609
x:0.967464 y:4.791334 z:8.723940
x:1.039052 y:4.787487 z:8.717817
x:1.110621 y:4.783391 z:8.711239
x:1.182170 y:4.779046 z:8.704205
x:1.253697 y:4.774452 z:8.696715
x:1.325200 y:4.769607 z:8.688768
x:1.396679 y:4.764512 z:8.680364
x:1.468130 y:4.759167 z:8.671501
x:1.539553 y:4.753570 z:8.662179
x:1.610946 y:4.747723 z:8.652397
x:1.682306 y:4.741624 z:8.642155
x:1.753633 y:4.735273 z:8.631452
x:1.824924 y:4.728669 z:8.620286
x:1.896177 y:4.721813 z:8.608658
