x:-0.021501 y:0.021619 z:0.039039
x:-0.021207 y:0.021741 z:0.039256
x:-0.020910 y:0.021861 z:0.039469
x:-0.020610 y:0.021979 z:0.039678
x:-0.020307 y:0.022095 z:0.039883
x:-0.020002 y:0.022209 z:0.040084
x:-0.019693 y:0.022320 z:0.040282
x:-0.019383 y:0.022430 z:0.040475
x:-0.019069 y:0.022537 z:0.040665
x:-0.018753 y:0.022642 z:0.040851
x:-0.018435 y:0.022745 z:0.041033
x:-0.018115 y:0.022845 z:0.041211
x:-0.017792 y:0.022944 z:0.041386
x:-0.017467 y:0.023040 z:0.041557
x:-0.017140 y:0.023135 z:0.041724
x:-0.016811 y:0.023227 z:0.041888
x:-0.016481 y:0.023317 z:0.042047
x:-0.016148 y:0.023405 z:0.042203
x:-0.015813 y:0.023491 z:0.042356
x:-0.015477 y:0.023575 z:0.042505
x:-0.015139 y:0.023657 z:0.042650
x:-0.014799 y:0.023737 z:0.042791
x:-0.014458 y:0.023815 z:0.042929
x:-0.014115 y:0.023891 z:0.043064
x:-0.013771 y:0.023965 z:0.043195
x:-0.013425 y:0.024037 z:0.043322
x:-0.013078 y:0.024107 z:0.043446
x:-0.012729 y:0.024175 z:0.043567
x:-0.012380 y:0.024241 z:0.043684
x:-0.012029 y:0.024305 z:0.043797
x:-0.011676 y:0.024367 z:0.043907
x:-0.011323 y:0.024427 z:0.044014
x:-0.010969 y:0.024485 z:0.044117
x:-0.010613 y:0.024542 z:0.044217
x:-0.010257 y:0.024596 z:0.044313
x:-0.009899 y:0.024649 z:0.044406
x:-0.009541 y:0.024699 z:0.044496
x:-0.009181 y:0.024748 z:0.044583
x:-0.008821 y:0.024795 z:0.044666
x:-0.008460 y:0.024840 z:0.044745
x:-0.008098 y:0.024883 z:0.044822
x:-0.007736 y:0.024924 z:0.044895
x:-0.007372 y:0.024964 z:0.044965
x:-0.007008 y:0.025002 z:0.045032
x:-0.006644 y:0.025037 z:0.045095
x:-0.006278 y:0.025071 z:0.045156
x:-0.005913 y:0.025103 z:0.045213
x:-0.005546 y:0.025134 z:0.045267
x:-0.005179 y:0.025162 z:0.045317
x:-0.004812 y:0.025189 z:0.045365
x:-0.004444 y:0.025214 z:0.045409
x:-0.004076 y:0.025237 z:0.045450
x:-0.003707 y:0.025258 z:0.045488
x:-0.003338 y:0.025278 z:0.045522
x:-0.002968 y:0.025295 z:0.045554
x:-0.002599 y:0.025311 z:0.045582
x:-0.002229 y:0.025326 z:0.045608
x:-0.001858 y:0.025338 z:0.045630
x:-0.001488 y:0.025349 z:0.045648
x:-0.001117 y:0.025357 z:0.045664
x:-0.000746 y:0.025364 z:0.045677
x:-0.000375 y:0.025370 z:0.045686
x:-0.000004 y:0.025373 z:0.045692
x:0.000367 y:0.025375 z:0.045695
x:0.000739 y:0.025375 z:0.045695
x:0.001110 y:0.025373 z:0.045692
x:0.001482 y:0.025369 z:0.045686
x:0.093950 y:11.848088 z:-6.331441
x:0.096616 y:11.850712 z:-6.333061
x:0.099273 y:11.853706 z:-6.334922
